,Unnamed: 0,entered,weeks_in_top_10,title,artist,peak,peak_reached,weeks_at_peak,id,duration_ms,explicit,popularity,tempo,title_words,vocals_start,year,album,preview_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,artwork
0,0,16-Apr-53,35,I Believe,Frankie Laine,1,30-Apr-53,18,3FzkbFgVGdg4zqyCMzUPM7,127706,False,47,140.11,2,7500,1953,command performance,https://p.scdn.co/mp3-preview/843946b9b120215cf2d0142afeb327f56eeff300?cid=8b56eb9fa3db453f9b0089feea311c1b,0.956,0.364,0.256,0.0,1,0.184,-10.258,1,0.0317,4,0.308,https://i.scdn.co/image/ab67616d00001e02e193efeea55d100fad133fce
1,1,29-Jun-91,21,(Everything I Do) I Do It for You,Bryan Adams,1,23-Jun-91,16,6eBK3edMW7bEzecF1eCezc,394133,False,67,131.253,5,15500,1991,waking up the neighbours,,0.0775,0.526,0.365,1.3500000000000001e-05,1,0.0618,-12.605,1,0.027999999999999997,4,0.253,https://i.scdn.co/image/ab67616d00001e023b6427c8257e341348dc5e2a
2,2,21-May-94,20,Love Is All Around,Wet Wet Wet,1,04-Jun-94,15,1DJ7sGOjJmJMKpq7Y3bIki,237760,False,58,169.90099999999998,4,10800,1994,best of,,0.276,0.43700000000000006,0.665,0.0,10,0.198,-8.389,1,0.0312,4,0.5579999999999999,https://i.scdn.co/image/ab67616d00001e02f8bebf03e27d54fcd2934152
3,3,19-Jan-17,22,Shape of You,Ed Sheeran,1,19-Jan-17,14,7qiZfU4dY1lWllzX7mPBI3,233712,False,87,95.977,3,9450,2017,Ã· (deluxe),https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=8b56eb9fa3db453f9b0089feea311c1b,0.581,0.825,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,4,0.9309999999999999,https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96
4,4,27-Oct-55,20,Rock Around the Clock,Bill Haley & His Comets,1,01-Dec-55,5,34AmZ4PMz9iNZVp9AMIGZj,179986,False,43,180.067,4,950,1955,live explosive rock n' roll,,0.139,0.609,0.526,0.0,9,0.0946,-13.106,1,0.43,4,0.93,https://i.scdn.co/image/ab67616d00001e02e5cbc5be4975955edb884bea
5,5,07-Feb-19,31,Someone You Loved,Lewis Capaldi,1,07-Mar-19,7,7qEHsqek33rTcFNT9PFqLf,182160,False,91,109.891,3,8900,2019,divinely uninspired to a hellish extent,,0.7509999999999999,0.501,0.405,0.0,1,0.105,-5.678999999999999,1,0.0319,4,0.446,https://i.scdn.co/image/ab67616d00001e02fc2101e6889d6ce9025f85f2
6,6,21-Nov-92,15,I Will Always Love You,Whitney Houston,1,05-Dec-92,10,4eHbdreAnSOrDDsFfc4Fpm,271093,False,79,67.531,5,300,1992,the bodyguard - original soundtrack album,https://p.scdn.co/mp3-preview/91e6d3e0b48cda2f3a1b2391a1c1384fbf73b8a8?cid=8b56eb9fa3db453f9b0089feea311c1b,0.845,0.332,0.214,5.62e-06,4,0.0839,-12.517999999999999,1,0.0349,4,0.11,https://i.scdn.co/image/ab67616d00001e02456c0b5d0316a80dc600802e
7,7,20-Nov-52,16,Here in My Heart,Al Martino,1,20-Nov-52,9,0mRAY4VhmgEsBvLEFxB6Vm,193373,False,31,82.96700000000001,4,11500,1952,capitol collectors series,,0.8,0.177,0.27899999999999997,0.0024,9,0.153,-10.950999999999999,0,0.0312,3,0.155,https://i.scdn.co/image/ab67616d00001e02f576a281c07c8c0f6da9fdff
8,8,14-Jun-18,16,Shotgun,George Ezra,1,05-Jul-18,4,4ofwffwvvnbSkrMSCKQDaC,201287,False,81,115.741,1,8400,2018,staying at tamara's,https://p.scdn.co/mp3-preview/955da50473f33884f1c3646e6aca4139844e59dd?cid=8b56eb9fa3db453f9b0089feea311c1b,0.28600000000000003,0.6729999999999999,0.735,0.0,5,0.242,-4.7330000000000005,1,0.0457,4,0.754,https://i.scdn.co/image/ab67616d00001e02103045cd1c29dd16a469f808
9,9,24-Dec-53,20,Oh Mein Papa,Eddie Calvert,1,14-Jan-54,9,3ZfgpguQ2cqSRBZx7TdzPS,146040,False,17,113.194,3,950,1953,oh mein papa,https://p.scdn.co/mp3-preview/fe75e215810c6a48f4ccd63eb204bb5fdda2d7e6?cid=8b56eb9fa3db453f9b0089feea311c1b,0.9179999999999999,0.321,0.405,0.946,10,0.171,-9.732000000000001,1,0.0318,4,0.258,https://i.scdn.co/image/ab67616d00001e0242a555a7fda168a27bacdc36
10,10,16-Jun-84,12,Two Tribes,Frankie Goes to Hollywood,1,16-Jun-84,9,5NN5MQyE3Lo91zAEHpGa7S,208133,False,58,130.202,2,43000,1984,welcome to the pleasuredome,,0.00292,0.54,0.621,0.0028699999999999997,7,0.36700000000000005,-13.165,1,0.0369,4,0.195,https://i.scdn.co/image/ab67616d00001e02275774501f737e10d92adaca
11,11,24-Jun-06,16,Hips Don't Lie,Shakira featuring Wyclef Jean,1,08-Jul-06,5,3ZFTkvIE7kyPt6Nu3PEa7V,234013,False,0,99.98899999999999,3,180,2006,"oral fixation, vol. 2 (expanded edition)",https://p.scdn.co/mp3-preview/9743b7c0f0f21da20168327a5c3ceb7f81a1df29?cid=8b56eb9fa3db453f9b0089feea311c1b,0.284,0.778,0.8240000000000001,0.0,10,0.405,-5.892,0,0.0707,4,0.758,https://i.scdn.co/image/ab67616d00001e0227ddd747545c0d0cfe7595fa
12,12,04-Jul-57,16,All Shook Up,Elvis Presley with The Jordanaires,1,18-Jul-57,7,5ueyLj6e6oVaTY0KQ6yLaA,117080,False,61,74.139,3,6000,1957,elvis' golden records,https://p.scdn.co/mp3-preview/8a379079e4bd03c72cc847ec1ea58f0a332d16ef?cid=8b56eb9fa3db453f9b0089feea311c1b,0.8809999999999999,0.624,0.46799999999999997,6.35e-06,10,0.14400000000000002,-12.162,1,0.132,4,0.9520000000000001,https://i.scdn.co/image/ab67616d00001e0220ee3e86e17f17239bef1f76
13,13,22-Nov-75,12,Bohemian Rhapsody,Queen,1,29-Nov-75,9,7tFiyTwD0nx5a1eklYtX2J,354320,False,76,143.88299999999998,2,290,1975,a night at the opera (deluxe remastered version),,0.28800000000000003,0.392,0.402,0.0,0,0.243,-9.961,0,0.0536,4,0.228,https://i.scdn.co/image/ab67616d00001e02ce4f1737bc8a646c8c4bd25a
14,14,01-Feb-18,13,This Is Me,Keala Settle and The Greatest Showman Ensemble,3,22-Feb-18,2,45aBsnKRWUzhwbcqOJLwfe,231901,False,21,193.335,3,11000,2018,"this is me (from ""the greatest showman"") [originally performed by keala settle and the greatest showman ensemble] [instrumental]",https://p.scdn.co/mp3-preview/4e3a8d43df85b32a1d056f2c3e6c745d6da46359?cid=8b56eb9fa3db453f9b0089feea311c1b,0.00583,0.284,0.7040000000000001,0.00011499999999999999,2,0.0424,-7.276,1,0.18600000000000003,4,0.1,https://i.scdn.co/image/ab67616d00001e02128057b40732c042c86de1dd
15,15,14-Nov-19,25,Don't Start Now,Dua Lipa,2,14-Nov-19,3,6WrI0LAC5M1Rw2MnX2ZvEg,183290,False,86,123.941,3,2400,2019,don't start now,https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0125,0.794,0.7929999999999999,0.0,11,0.0952,-4.521,0,0.0842,4,0.677,https://i.scdn.co/image/ab67616d00001e028583df1a14bea9175f9ac520
16,16,20-Apr-60,13,Handy Man,Jimmy Jones,3,20-Apr-60,5,63l4KCU2ZpXodzDzuHtyu4,124120,False,37,144.976,2,550,1960,good timin',,0.4,0.47700000000000004,0.7809999999999999,0.0,10,0.331,-6.931,1,0.0654,4,0.75,https://i.scdn.co/image/ab67616d00001e02541a2f5c109e025cb66b1696
